run_idx,mode,agent,network,world,train_pr,infer_pr,checkpoint_episode,selection_metric,selection_value,repeat_idx,seed,train_prefix,infer_prefix,output_dir,status,exit_code,travel_time,loss,reward,queue,delay,throughput
49,baseline,mplight,sumohz4x4,sumo,1.0,0.65,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.65__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.65__ckpt_20__rep_01,success,0,370.9,0.0,-2.34,1.98,0.14,2706.0
50,baseline,mplight,sumohz4x4,sumo,1.0,0.65,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.65__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.65__ckpt_40__rep_02,success,0,372.3,0.0,-2.41,2.01,0.15,2699.0
51,baseline,mplight,sumohz4x4,sumo,1.0,0.65,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.65__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.65__ckpt_35__rep_03,success,0,371.9,0.0,-2.36,1.96,0.14,2698.0
52,baseline,mplight,sumohz4x4,sumo,1.0,0.7,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.70__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.70__ckpt_20__rep_01,success,0,368.9,0.0,-2.6,2.19,0.15,2706.0
53,baseline,mplight,sumohz4x4,sumo,1.0,0.7,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.70__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.70__ckpt_40__rep_02,success,0,370.2,0.0,-2.6,2.19,0.15,2715.0
54,baseline,mplight,sumohz4x4,sumo,1.0,0.7,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.70__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.70__ckpt_35__rep_03,success,0,368.4,0.0,-2.53,2.13,0.14,2705.0
55,baseline,mplight,sumohz4x4,sumo,1.0,0.75,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.75__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.75__ckpt_20__rep_01,success,0,369.2,0.0,-2.69,2.28,0.15,2710.0
56,baseline,mplight,sumohz4x4,sumo,1.0,0.75,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.75__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.75__ckpt_40__rep_02,success,0,369.6,0.0,-2.67,2.27,0.14,2705.0
57,baseline,mplight,sumohz4x4,sumo,1.0,0.75,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.75__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.75__ckpt_35__rep_03,success,0,368.7,0.0,-2.64,2.25,0.14,2706.0
58,baseline,mplight,sumohz4x4,sumo,1.0,0.8,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.80__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.80__ckpt_20__rep_01,success,0,368.1,0.0,-2.67,2.29,0.15,2703.0
59,baseline,mplight,sumohz4x4,sumo,1.0,0.8,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.80__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.80__ckpt_40__rep_02,success,0,369.4,0.0,-2.68,2.27,0.14,2707.0
60,baseline,mplight,sumohz4x4,sumo,1.0,0.8,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.80__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.80__ckpt_35__rep_03,success,0,369.0,0.0,-2.7,2.31,0.14,2705.0
